work_id,composer,title,catalog_system,catalog_number,recording_count
work_2cb523e35a18,"Bach, Johann Sebastian",Concerto for 2 Harpsichords and Strings in C minor,BWV,1062,1
work_3d480ab9e188,"Bach, Johann Sebastian",Concerto for 3 Harpsichords and Strings in D minor,BWV,1063,1
work_395a48710b22,"Bach, Johann Sebastian",Concerto for 3 Harpsichords and Strings in C major,BWV,1064,1
work_847334d14bf6,"Bach, Johann Sebastian",Concerto for 4 Harpsichords and Strings in A minor,BWV,1065,1
work_d9b9553912c3,"Bach, Johann Sebastian",Ouverture,BWV,1066,1
work_5313d4e845ed,"Barber, Samuel",Piano Sonata No 2,Op,19,1
work_1d388e90cef4,"Bartok, Bela",Dance suite,,,1
work_06894f1f598e,"Bartok, Bela",Divertimento,,,1
work_abbca780b4b6,"Bartok, Bela",Door 1,,,1
work_336dc0874e77,"Bartok, Bela",Piano concerto No. 1,,,1
work_27188b015faf,"Bartok, Bela",Violin Concerto No. 1,,,1
work_1504e65b9978,"Bartok, Bela",Concerto for Orchestra,Sz,116,1
work_8be370c98859,"Beethoven, Ludwig van",#27 II. Nicht zu geschwind und sehr singbar vorzutragen,,,1
work_39eb81492e07,"Beethoven, Ludwig van",Applaus,,,2
work_c985c9630e4e,"Beethoven, Ludwig van",Applause,,,4
work_59f1c5ed8391,"Beethoven, Ludwig van",Piano Sonata No. 1 in F minor,Op,2,1
work_7cca03a336f5,"Beethoven, Ludwig van","Piano Sonata No. 4 in E flat major (""Grand Sonata"")",Op,7,1
work_607151fdd32d,"Beethoven, Ludwig van",Piano Sonata No. 5 in C minor,Op,10,1
work_bc8ab7c775ab,"Beethoven, Ludwig van",Violin Sonata No.1 in D-dur,Op,12 No.1,1
work_c5223aa65648,"Beethoven, Ludwig van",Violin Sonata No.2 in A-dur,Op,12 No.2,1
work_2fd94634f665,"Beethoven, Ludwig van",Violin Sonata No.3 in Es-dur,Op,12 No.3,1
work_4d301600ea87,"Beethoven, Ludwig van",Piano Sonata No. 8 in C minor,Op,13,1
work_ef8931e256c9,"Beethoven, Ludwig van",Piano Sonata No. 9 in E major,Op,14,1
work_2a6212287af5,"Beethoven, Ludwig van",Piano Concerto No.1 in C major,Op,15,1
work_9a35d866b90c,"Beethoven, Ludwig van",Piano Concerto No.2 in B flat major,Op,19,2
work_45213fa39fe4,"Beethoven, Ludwig van",Symphonie No.1 C-Dur,Op,21,1
work_9ced2902a725,"Beethoven, Ludwig van",Piano Sonata No. 11 in B flat Major,Op,22,1
work_e3356a8b39fa,"Beethoven, Ludwig van",Violin Sonata No.4 in a-moll,Op,23,1
work_36fbfe03a375,"Beethoven, Ludwig van",Violin Sonata No.5 in F-dur,Op,24,1
