path,genre_primary,current_albumartist,current_album,current_title,current_artist,current_track,current_disc,flat_albumartist,flat_album,flat_title,flat_artist,flat_genre,flat_track,flat_disc,flat_date,flat_grouping,changed
"Bach - Brandenburg Concertos - Otto Klemperer - Philharmonia - EMI/CD 2/01. Bach - Concerto Brandebourgeois n°4, BWV 1049 - I. Allegro.mp3",Classical,,BACH - Brandenburg Concerti CD1,,"Philharmonia Orchestra, O.Klemperer",,2,Bach,"Brandenburg Concerti CD1 - Otto Klemperer, Philharmonia Orchestra (1968)","01. Bach - Concerto Brandebourgeois n°4, BWV 1049 - I. Allegro.mp3","Otto Klemperer, Philharmonia Orchestra, O.Klemperer",Classical,,2,1968,Brandenburg Concerti CD1,yes
Bach - Brandenburg Concertos - Otto Klemperer - Philharmonia - EMI/CD 2/02. II. Andante.mp3,Classical,,BACH - Brandenburg Concerti CD1,,"Philharmonia Orchestra, O.Klemperer",,2,Bach,"Brandenburg Concerti CD1 - Otto Klemperer, Philharmonia Orchestra (1968)",02. II. Andante.mp3,"Otto Klemperer, Philharmonia Orchestra, O.Klemperer",Classical,,2,1968,Brandenburg Concerti CD1,yes
Bach - Brandenburg Concertos - Otto Klemperer - Philharmonia - EMI/CD 2/03. III. Presto.mp3,Classical,,BACH - Brandenburg Concerti CD1,,"Philharmonia Orchestra, O.Klemperer",,2,Bach,"Brandenburg Concerti CD1 - Otto Klemperer, Philharmonia Orchestra (1968)",03. III. Presto.mp3,"Otto Klemperer, Philharmonia Orchestra, O.Klemperer",Classical,,2,1968,Brandenburg Concerti CD1,yes
"Bach - Brandenburg Concertos - Otto Klemperer - Philharmonia - EMI/CD 2/04. Bach - Concerto Brandebourgeois n°5, BWV 1050 - I. Allegro.mp3",Classical,,BACH - Brandenburg Concerti CD1,,"Philharmonia Orchestra, O.Klemperer",,2,Bach,"Brandenburg Concerti CD1 - Otto Klemperer, Philharmonia Orchestra (1968)","04. Bach - Concerto Brandebourgeois n°5, BWV 1050 - I. Allegro.mp3","Otto Klemperer, Philharmonia Orchestra, O.Klemperer",Classical,,2,1968,Brandenburg Concerti CD1,yes
Bach - Brandenburg Concertos - Otto Klemperer - Philharmonia - EMI/CD 2/05. II.  Affettuoso.mp3,Classical,,BACH - Brandenburg Concerti CD1,,"Philharmonia Orchestra, O.Klemperer",,2,Bach,"Brandenburg Concerti CD1 - Otto Klemperer, Philharmonia Orchestra (1968)",05. II.  Affettuoso.mp3,"Otto Klemperer, Philharmonia Orchestra, O.Klemperer",Classical,,2,1968,Brandenburg Concerti CD1,yes
Bach - Brandenburg Concertos - Otto Klemperer - Philharmonia - EMI/CD 2/06. III. Allegro.mp3,Classical,,BACH - Brandenburg Concerti CD1,,"Philharmonia Orchestra, O.Klemperer",,2,Bach,"Brandenburg Concerti CD1 - Otto Klemperer, Philharmonia Orchestra (1968)",06. III. Allegro.mp3,"Otto Klemperer, Philharmonia Orchestra, O.Klemperer",Classical,,2,1968,Brandenburg Concerti CD1,yes
"Bach - Brandenburg Concertos - Otto Klemperer - Philharmonia - EMI/CD 2/07. Bach - Concerto Brandebourgeois n°6, BWV 1051 - I. Allegro.mp3",Classical,,BACH - Brandenburg Concerti CD1,,"Philharmonia Orchestra, O.Klemperer",,2,Bach,"Brandenburg Concerti CD1 - Otto Klemperer, Philharmonia Orchestra (1968)","07. Bach - Concerto Brandebourgeois n°6, BWV 1051 - I. Allegro.mp3","Otto Klemperer, Philharmonia Orchestra, O.Klemperer",Classical,,2,1968,Brandenburg Concerti CD1,yes
Bach - Brandenburg Concertos - Otto Klemperer - Philharmonia - EMI/CD 2/08. II. Adagio ma non tanto.mp3,Classical,,BACH - Brandenburg Concerti CD1,,"Philharmonia Orchestra, O.Klemperer",,2,Bach,"Brandenburg Concerti CD1 - Otto Klemperer, Philharmonia Orchestra (1968)",08. II. Adagio ma non tanto.mp3,"Otto Klemperer, Philharmonia Orchestra, O.Klemperer",Classical,,2,1968,Brandenburg Concerti CD1,yes
Bach - Brandenburg Concertos - Otto Klemperer - Philharmonia - EMI/CD 2/09. III. Allegro.mp3,Classical,,BACH - Brandenburg Concerti CD1,,"Philharmonia Orchestra, O.Klemperer",,2,Bach,"Brandenburg Concerti CD1 - Otto Klemperer, Philharmonia Orchestra (1968)",09. III. Allegro.mp3,"Otto Klemperer, Philharmonia Orchestra, O.Klemperer",Classical,,2,1968,Brandenburg Concerti CD1,yes
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 1/01 - Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus).flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)","Gardiner - Monteverdi Choir, The English Baroque Soloists",1,1,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)","Gardiner - Monteverdi Choir, The English Baroque Soloists",Classical,1,1,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
