track_id,release_id,path,genre_primary,rating,collections,composer,work_title,catalog_system,catalog_number,movement_number,movement_name,title,artist_raw,soloists,ensembles,conductor,conductor_source,conductor_confidence,conductor_candidate,album,album_artist,disc_number,disc_subtitle,track_number,release_year,recording_year,label,catalog_number_release,source_medium,quality_tier,codec,bit_depth,sample_rate,channels,duration_seconds,size_bytes,isrc,is_container_release
trk_9c4339aca5f6,rel_c6a5de5221ea,"Amoyal - Saint-Saëns Violin Concerto No.3, Respighi  Concerto gregoriano/07 Respighi , Poema autunnale.ape",Classical,,,,Amoyal,,,,,,,,,,,,,"Amoyal - Saint-Saëns Violin Concerto No.3, Respighi  Concerto gregoriano",,,,,,,,,Unknown,Redbook,ape,16,44100,2,740.5,52202720,,False
trk_fe32e45bf669,rel_4a80d30dcbb3,"BIS-SACD-1827 - Barber - Cello Concerto; Cello Sonata (Poltera, Stott, Bergen Philharmonic Orchestra, Litton - BIS)/Barber - Cello Concerto; Cello Sonata.flac",Classical,,,,1827,,,,,,,,Bergen Philharmonic Orchestra,Andrew Litton,folder_path,high,,BIS-SACD-1827 - Barber - Cello Concerto; Cello Sonata,,,,,1827,,,,SACD,Redbook,flac,16,44100,2,3253.0,226211568,,True
trk_e953cfcf7ed2,rel_78c496f6fd7d,"Bach - Brandenburg Concertos - Otto Klemperer - Philharmonia - EMI/CD 1/01. Bach - Concerto Brandebourgeois n°1, BWV 1046 - I. Allegro.mp3",Classical,,,"Bach, Johann Sebastian",Brandenburg Concerti CD1,,,,,,"Philharmonia Orchestra, O.Klemperer",O.Klemperer,Philharmonia Orchestra,Otto Klemperer,folder_path,high,O.Klemperer,BACH - Brandenburg Concerti CD1,,1,,,1968,,,,Unknown,Lossy,mp3,,44100,2,277.0,11082386,,False
trk_938e8670b765,rel_78c496f6fd7d,Bach - Brandenburg Concertos - Otto Klemperer - Philharmonia - EMI/CD 1/02. II. Adagio.mp3,Classical,,,"Bach, Johann Sebastian",Brandenburg Concerti CD1,,,,,,"Philharmonia Orchestra, O.Klemperer",O.Klemperer,Philharmonia Orchestra,Otto Klemperer,folder_path,high,O.Klemperer,BACH - Brandenburg Concerti CD1,,1,,,1968,,,,Unknown,Lossy,mp3,,44100,2,276.1,11045814,,False
trk_861da0400231,rel_78c496f6fd7d,Bach - Brandenburg Concertos - Otto Klemperer - Philharmonia - EMI/CD 1/03. III. Allegro.mp3,Classical,,,"Bach, Johann Sebastian",Brandenburg Concerti CD1,,,,,,"Philharmonia Orchestra, O.Klemperer",O.Klemperer,Philharmonia Orchestra,Otto Klemperer,folder_path,high,O.Klemperer,BACH - Brandenburg Concerti CD1,,1,,,1968,,,,Unknown,Lossy,mp3,,44100,2,327.2,13091724,,False
trk_3ec7c998cd0e,rel_78c496f6fd7d,Bach - Brandenburg Concertos - Otto Klemperer - Philharmonia - EMI/CD 1/04. IV. Menuet.mp3,Classical,,,"Bach, Johann Sebastian",Brandenburg Concerti CD1,,,,,,"Philharmonia Orchestra, O.Klemperer",O.Klemperer,Philharmonia Orchestra,Otto Klemperer,folder_path,high,O.Klemperer,BACH - Brandenburg Concerti CD1,,1,,,1968,,,,Unknown,Lossy,mp3,,44100,2,541.7,21671382,,False
trk_9200b4f7f894,rel_78c496f6fd7d,"Bach - Brandenburg Concertos - Otto Klemperer - Philharmonia - EMI/CD 1/05. Bach - Concerto Brandebourgeois n°2, BWV 1047 - I. Allegro.mp3",Classical,,,"Bach, Johann Sebastian",Brandenburg Concerti CD1,,,,,,"Philharmonia Orchestra, O.Klemperer",O.Klemperer,Philharmonia Orchestra,Otto Klemperer,folder_path,high,O.Klemperer,BACH - Brandenburg Concerti CD1,,1,,,1968,,,,Unknown,Lossy,mp3,,44100,2,353.1,14128263,,False
trk_97b3a13e6461,rel_78c496f6fd7d,Bach - Brandenburg Concertos - Otto Klemperer - Philharmonia - EMI/CD 1/06. II. Andante.mp3,Classical,,,"Bach, Johann Sebastian",Brandenburg Concerti CD1,,,,,,"Philharmonia Orchestra, O.Klemperer",O.Klemperer,Philharmonia Orchestra,Otto Klemperer,folder_path,high,O.Klemperer,BACH - Brandenburg Concerti CD1,,1,,,1968,,,,Unknown,Lossy,mp3,,44100,2,297.9,11919349,,False
trk_7f104f6c1f42,rel_78c496f6fd7d,Bach - Brandenburg Concertos - Otto Klemperer - Philharmonia - EMI/CD 1/07. III. Allegro assai.mp3,Classical,,,"Bach, Johann Sebastian",Brandenburg Concerti CD1,,,,,,"Philharmonia Orchestra, O.Klemperer",O.Klemperer,Philharmonia Orchestra,Otto Klemperer,folder_path,high,O.Klemperer,BACH - Brandenburg Concerti CD1,,1,,,1968,,,,Unknown,Lossy,mp3,,44100,2,194.2,7773194,,False
trk_b30e3fad2b7b,rel_78c496f6fd7d,"Bach - Brandenburg Concertos - Otto Klemperer - Philharmonia - EMI/CD 1/08. Bach - Concerto Brandebourgeois n°3, BWV 1048 - I. Allegro - Agitato.mp3",Classical,,,"Bach, Johann Sebastian",Brandenburg Concerti CD1,,,,,,"Philharmonia Orchestra, O.Klemperer",O.Klemperer,Philharmonia Orchestra,Otto Klemperer,folder_path,high,O.Klemperer,BACH - Brandenburg Concerti CD1,,1,,,1968,,,,Unknown,Lossy,mp3,,44100,2,412.1,16486598,,False
trk_36f3e8624102,rel_78c496f6fd7d,Bach - Brandenburg Concertos - Otto Klemperer - Philharmonia - EMI/CD 1/09. II. Adagio.mp3,Classical,,,"Bach, Johann Sebastian",Brandenburg Concerti CD1,,,,,,"Philharmonia Orchestra, O.Klemperer",O.Klemperer,Philharmonia Orchestra,Otto Klemperer,folder_path,high,O.Klemperer,BACH - Brandenburg Concerti CD1,,1,,,1968,,,,Unknown,Lossy,mp3,,44100,2,14.1,568622,,False
trk_d872d3dd52ce,rel_78c496f6fd7d,Bach - Brandenburg Concertos - Otto Klemperer - Philharmonia - EMI/CD 1/10. III. Allegro.mp3,Classical,,,"Bach, Johann Sebastian",Brandenburg Concerti CD1,,,,,,"Philharmonia Orchestra, O.Klemperer",O.Klemperer,Philharmonia Orchestra,Otto Klemperer,folder_path,high,O.Klemperer,BACH - Brandenburg Concerti CD1,,1,,,1968,,,,Unknown,Lossy,mp3,,44100,2,357.8,14314255,,False
trk_6350166f4fec,rel_78c496f6fd7d,"Bach - Brandenburg Concertos - Otto Klemperer - Philharmonia - EMI/CD 2/01. Bach - Concerto Brandebourgeois n°4, BWV 1049 - I. Allegro.mp3",Classical,,,"Bach, Johann Sebastian",Brandenburg Concerti CD1,,,,,,"Philharmonia Orchestra, O.Klemperer",O.Klemperer,Philharmonia Orchestra,Otto Klemperer,folder_path,high,O.Klemperer,BACH - Brandenburg Concerti CD1,,2,,,1968,,,,Unknown,Lossy,mp3,,44100,2,492.8,19715333,,False
trk_b66afbc453d5,rel_78c496f6fd7d,Bach - Brandenburg Concertos - Otto Klemperer - Philharmonia - EMI/CD 2/02. II. Andante.mp3,Classical,,,"Bach, Johann Sebastian",Brandenburg Concerti CD1,,,,,,"Philharmonia Orchestra, O.Klemperer",O.Klemperer,Philharmonia Orchestra,Otto Klemperer,folder_path,high,O.Klemperer,BACH - Brandenburg Concerti CD1,,2,,,1968,,,,Unknown,Lossy,mp3,,44100,2,207.2,8292508,,False
trk_65957e4c21a7,rel_78c496f6fd7d,Bach - Brandenburg Concertos - Otto Klemperer - Philharmonia - EMI/CD 2/03. III. Presto.mp3,Classical,,,"Bach, Johann Sebastian",Brandenburg Concerti CD1,,,,,,"Philharmonia Orchestra, O.Klemperer",O.Klemperer,Philharmonia Orchestra,Otto Klemperer,folder_path,high,O.Klemperer,BACH - Brandenburg Concerti CD1,,2,,,1968,,,,Unknown,Lossy,mp3,,44100,2,297.0,11883822,,False
trk_09a696061480,rel_78c496f6fd7d,"Bach - Brandenburg Concertos - Otto Klemperer - Philharmonia - EMI/CD 2/04. Bach - Concerto Brandebourgeois n°5, BWV 1050 - I. Allegro.mp3",Classical,,,"Bach, Johann Sebastian",Brandenburg Concerti CD1,,,,,,"Philharmonia Orchestra, O.Klemperer",O.Klemperer,Philharmonia Orchestra,Otto Klemperer,folder_path,high,O.Klemperer,BACH - Brandenburg Concerti CD1,,2,,,1968,,,,Unknown,Lossy,mp3,,44100,2,685.8,27437129,,False
trk_9285b10e42df,rel_78c496f6fd7d,Bach - Brandenburg Concertos - Otto Klemperer - Philharmonia - EMI/CD 2/05. II.  Affettuoso.mp3,Classical,,,"Bach, Johann Sebastian",Brandenburg Concerti CD1,,,,,,"Philharmonia Orchestra, O.Klemperer",O.Klemperer,Philharmonia Orchestra,Otto Klemperer,folder_path,high,O.Klemperer,BACH - Brandenburg Concerti CD1,,2,,,1968,,,,Unknown,Lossy,mp3,,44100,2,354.4,14178418,,False
trk_105d61ec75e6,rel_78c496f6fd7d,Bach - Brandenburg Concertos - Otto Klemperer - Philharmonia - EMI/CD 2/06. III. Allegro.mp3,Classical,,,"Bach, Johann Sebastian",Brandenburg Concerti CD1,,,,,,"Philharmonia Orchestra, O.Klemperer",O.Klemperer,Philharmonia Orchestra,Otto Klemperer,folder_path,high,O.Klemperer,BACH - Brandenburg Concerti CD1,,2,,,1968,,,,Unknown,Lossy,mp3,,44100,2,341.1,13648655,,False
trk_81df52a2333e,rel_78c496f6fd7d,"Bach - Brandenburg Concertos - Otto Klemperer - Philharmonia - EMI/CD 2/07. Bach - Concerto Brandebourgeois n°6, BWV 1051 - I. Allegro.mp3",Classical,,,"Bach, Johann Sebastian",Brandenburg Concerti CD1,,,,,,"Philharmonia Orchestra, O.Klemperer",O.Klemperer,Philharmonia Orchestra,Otto Klemperer,folder_path,high,O.Klemperer,BACH - Brandenburg Concerti CD1,,2,,,1968,,,,Unknown,Lossy,mp3,,44100,2,427.0,17085324,,False
trk_2f41d247739c,rel_78c496f6fd7d,Bach - Brandenburg Concertos - Otto Klemperer - Philharmonia - EMI/CD 2/08. II. Adagio ma non tanto.mp3,Classical,,,"Bach, Johann Sebastian",Brandenburg Concerti CD1,,,,,,"Philharmonia Orchestra, O.Klemperer",O.Klemperer,Philharmonia Orchestra,Otto Klemperer,folder_path,high,O.Klemperer,BACH - Brandenburg Concerti CD1,,2,,,1968,,,,Unknown,Lossy,mp3,,44100,2,311.4,12457471,,False
trk_f6517aa4e4b4,rel_78c496f6fd7d,Bach - Brandenburg Concertos - Otto Klemperer - Philharmonia - EMI/CD 2/09. III. Allegro.mp3,Classical,,,"Bach, Johann Sebastian",Brandenburg Concerti CD1,,,,,,"Philharmonia Orchestra, O.Klemperer",O.Klemperer,Philharmonia Orchestra,Otto Klemperer,folder_path,high,O.Klemperer,BACH - Brandenburg Concerti CD1,,2,,,1968,,,,Unknown,Lossy,mp3,,44100,2,364.6,14585929,,False
